business_code,biz_large_codes,biz_large_names,biz_middle_codes,biz_middle_names,biz_small_codes,biz_small_names,biz_sub_codes,biz_sub_names,biz_detail_names,linked_ksic_codes,linked_ksic_names,main_ksic_codes,main_ksic_names,main_relation_values,detail_descriptions,source_row_count,embedding_text
012101,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,소 사육업,육우 사육업,01212,육우 사육업,,,,,1,"업종코드: 012101
업종 대분류: 농업, 임업 및 어업
업종 중분류: 농업
업종 소분류: 축산업
업종 세분류: 소 사육업
업종 세세분류 및 활동명: 육우 사육업
연계 KSIC 11차 코드: 01212
연계 KSIC 11차 분류명: 육우 사육업"
012102,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,기타 축산업,말 및 양 사육업,01291,말 및 양 사육업,,,,,1,"업종코드: 012102
업종 대분류: 농업, 임업 및 어업
업종 중분류: 농업
업종 소분류: 축산업
업종 세분류: 기타 축산업
업종 세세분류 및 활동명: 말 및 양 사육업
연계 KSIC 11차 코드: 01291
연계 KSIC 11차 분류명: 말 및 양 사육업"
012103,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,기타 축산업,"그 외 기타 축산업(사슴, 토끼)",01299,그 외 기타 축산업,,,,"사슴, 토끼",1,"업종코드: 012103
업종 대분류: 농업, 임업 및 어업
업종 중분류: 농업
업종 소분류: 축산업
업종 세분류: 기타 축산업
업종 세세분류 및 활동명: 그 외 기타 축산업(사슴, 토끼)
연계 KSIC 11차 코드: 01299
연계 KSIC 11차 분류명: 그 외 기타 축산업
세부설명: 사슴, 토끼"
012104,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,소 사육업,젖소 사육업,01211,젖소 사육업,,,,,1,"업종코드: 012104
업종 대분류: 농업, 임업 및 어업
업종 중분류: 농업
업종 소분류: 축산업
업종 세분류: 소 사육업
업종 세세분류 및 활동명: 젖소 사육업
연계 KSIC 11차 코드: 01211
연계 KSIC 11차 분류명: 젖소 사육업"
012105,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,기타 축산업,그 외 기타 축산업(개),01299,그 외 기타 축산업,,,,개,1,"업종코드: 012105
업종 대분류: 농업, 임업 및 어업
업종 중분류: 농업
업종 소분류: 축산업
업종 세분류: 기타 축산업
업종 세세분류 및 활동명: 그 외 기타 축산업(개)
연계 KSIC 11차 코드: 01299
연계 KSIC 11차 분류명: 그 외 기타 축산업
세부설명: 개"
012201,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,양돈업,양돈업,01220,양돈업,,,,,1,"업종코드: 012201
업종 대분류: 농업, 임업 및 어업
업종 중분류: 농업
업종 소분류: 축산업
업종 세분류: 양돈업
업종 세세분류 및 활동명: 양돈업
연계 KSIC 11차 코드: 01220
연계 KSIC 11차 분류명: 양돈업"
012202,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,가금류 및 조류 사육업,양계업,01231,양계업,,,,,1,"업종코드: 012202
업종 대분류: 농업, 임업 및 어업
업종 중분류: 농업
업종 소분류: 축산업
업종 세분류: 가금류 및 조류 사육업
업종 세세분류 및 활동명: 양계업
연계 KSIC 11차 코드: 01231
연계 KSIC 11차 분류명: 양계업"
012203,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,가금류 및 조류 사육업,기타 가금류 및 조류 사육업,01239,기타 가금류 및 조류 사육업,,,,,1,"업종코드: 012203
업종 대분류: 농업, 임업 및 어업
업종 중분류: 농업
업종 소분류: 축산업
업종 세분류: 가금류 및 조류 사육업
업종 세세분류 및 활동명: 기타 가금류 및 조류 사육업
연계 KSIC 11차 코드: 01239
연계 KSIC 11차 분류명: 기타 가금류 및 조류 사육업"
012204,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,기타 축산업,그 외 기타 축산업,01299,그 외 기타 축산업,01299,그 외 기타 축산업,1,,1,"업종코드: 012204
업종 대분류: 농업, 임업 및 어업
업종 중분류: 농업
업종 소분류: 축산업
업종 세분류: 기타 축산업
업종 세세분류 및 활동명: 그 외 기타 축산업
연계 KSIC 11차 코드: 01299
연계 KSIC 11차 분류명: 그 외 기타 축산업
주요 연계 KSIC 코드: 01299
주요 연계 KSIC 분류명: 그 외 기타 축산업"
014300,A,"농업, 임업 및 어업",01,농업,014,작물재배 및 축산 관련 서비스업,0143,축산 관련 서비스업,축산 관련 서비스업,01420,축산 관련 서비스업,,,,,1,"업종코드: 014300
업종 대분류: 농업, 임업 및 어업
업종 중분류: 농업
업종 소분류: 작물재배 및 축산 관련 서비스업
업종 세분류: 축산 관련 서비스업
업종 세세분류 및 활동명: 축산 관련 서비스업
연계 KSIC 11차 코드: 01420
연계 KSIC 11차 분류명: 축산 관련 서비스업"
014301,A,"농업, 임업 및 어업",01,농업,014,작물재배 및 축산 복합농업,0143,작물재배 및 축산 복합농업,작물재배 및 축산 복합농업,01300,작물재배 및 축산 복합농업,,,,,1,"업종코드: 014301
업종 대분류: 농업, 임업 및 어업
업종 중분류: 농업
업종 소분류: 작물재배 및 축산 복합농업
업종 세분류: 작물재배 및 축산 복합농업
업종 세세분류 및 활동명: 작물재배 및 축산 복합농업
연계 KSIC 11차 코드: 01300
연계 KSIC 11차 분류명: 작물재배 및 축산 복합농업"
014302,A,"농업, 임업 및 어업",01,농업,014,작물재배 및 축산 관련 서비스업,0143,작물재배 관련 서비스업,작물재배 지원 서비스업,01411,작물재배 지원 서비스업,,,,,1,"업종코드: 014302
업종 대분류: 농업, 임업 및 어업
업종 중분류: 농업
업종 소분류: 작물재배 및 축산 관련 서비스업
업종 세분류: 작물재배 관련 서비스업
업종 세세분류 및 활동명: 작물재배 지원 서비스업
연계 KSIC 11차 코드: 01411
연계 KSIC 11차 분류명: 작물재배 지원 서비스업"
014303,A,"농업, 임업 및 어업",01,농업,014,작물재배 및 축산 관련 서비스업,0143,작물재배 관련 서비스업,"농산물 건조, 선별 및 기타 수확 후 서비스업",01412,"농산물 건조, 선별 및 기타 수확 후 서비스업",,,,,1,"업종코드: 014303
업종 대분류: 농업, 임업 및 어업
업종 중분류: 농업
업종 소분류: 작물재배 및 축산 관련 서비스업
업종 세분류: 작물재배 관련 서비스업
업종 세세분류 및 활동명: 농산물 건조, 선별 및 기타 수확 후 서비스업
연계 KSIC 11차 코드: 01412
연계 KSIC 11차 분류명: 농산물 건조, 선별 및 기타 수확 후 서비스업"
015000,A,"농업, 임업 및 어업",01,농업,015,수렵 및 관련 서비스업,0150,수렵 및 관련 서비스업,수렵 및 관련 서비스업,01500,수렵 및 관련 서비스업,,,,,1,"업종코드: 015000
업종 대분류: 농업, 임업 및 어업
업종 중분류: 농업
업종 소분류: 수렵 및 관련 서비스업
업종 세분류: 수렵 및 관련 서비스업
업종 세세분류 및 활동명: 수렵 및 관련 서비스업
연계 KSIC 11차 코드: 01500
연계 KSIC 11차 분류명: 수렵 및 관련 서비스업"
020100,A,"농업, 임업 및 어업",02,임업,020,임업,0201,영림업,임업용 종묘 생산업,02011,임업용 종묘 생산업,,,,,1,"업종코드: 020100
업종 대분류: 농업, 임업 및 어업
업종 중분류: 임업
업종 소분류: 임업
업종 세분류: 영림업
업종 세세분류 및 활동명: 임업용 종묘 생산업
연계 KSIC 11차 코드: 02011
연계 KSIC 11차 분류명: 임업용 종묘 생산업"
020101,A,"농업, 임업 및 어업",02,임업,020,임업,0201,영림업,육림업,02012,육림업,,,,,1,"업종코드: 020101
업종 대분류: 농업, 임업 및 어업
업종 중분류: 임업
업종 소분류: 임업
업종 세분류: 영림업
업종 세세분류 및 활동명: 육림업
연계 KSIC 11차 코드: 02012
연계 KSIC 11차 분류명: 육림업"
020102,A,"농업, 임업 및 어업",02,임업,020,임업,0201,임산물 채취업,임산물 채취업,02030,임산물 채취업,,,,,1,"업종코드: 020102
업종 대분류: 농업, 임업 및 어업
업종 중분류: 임업
업종 소분류: 임업
업종 세분류: 임산물 채취업
업종 세세분류 및 활동명: 임산물 채취업
연계 KSIC 11차 코드: 02030
연계 KSIC 11차 분류명: 임산물 채취업"
020200,A,"농업, 임업 및 어업",02,임업,020,임업,0202,벌목업,벌목업,02020,벌목업,,,,,1,"업종코드: 020200
업종 대분류: 농업, 임업 및 어업
업종 중분류: 임업
업종 소분류: 임업
업종 세분류: 벌목업
업종 세세분류 및 활동명: 벌목업
연계 KSIC 11차 코드: 02020
연계 KSIC 11차 분류명: 벌목업"
020300,A,"농업, 임업 및 어업",02,임업,020,임업,0203,임업 관련 서비스업,임업 관련 서비스업,02040,임업 관련 서비스업,,,,,1,"업종코드: 020300
업종 대분류: 농업, 임업 및 어업
업종 중분류: 임업
업종 소분류: 임업
업종 세분류: 임업 관련 서비스업
업종 세세분류 및 활동명: 임업 관련 서비스업
연계 KSIC 11차 코드: 02040
연계 KSIC 11차 분류명: 임업 관련 서비스업"
051102,A,"농업, 임업 및 어업",05,어업,051,어로 어업,0511,해수면 어업,연근해 어업,03112,연근해 어업,,,,,1,"업종코드: 051102
업종 대분류: 농업, 임업 및 어업
업종 중분류: 어업
업종 소분류: 어로 어업
업종 세분류: 해수면 어업
업종 세세분류 및 활동명: 연근해 어업
연계 KSIC 11차 코드: 03112
연계 KSIC 11차 분류명: 연근해 어업"
051104,A,"농업, 임업 및 어업",05,어업,051,어로 어업,0511,해수면 어업,원양 어업,03111,원양 어업,,,,,1,"업종코드: 051104
업종 대분류: 농업, 임업 및 어업
업종 중분류: 어업
업종 소분류: 어로 어업
업종 세분류: 해수면 어업
업종 세세분류 및 활동명: 원양 어업
연계 KSIC 11차 코드: 03111
연계 KSIC 11차 분류명: 원양 어업"
051200,A,"농업, 임업 및 어업",05,어업,051,어로 어업,0512,내수면 어업,내수면 어업,03120,내수면 어업,,,,,1,"업종코드: 051200
업종 대분류: 농업, 임업 및 어업
업종 중분류: 어업
업종 소분류: 어로 어업
업종 세분류: 내수면 어업
업종 세세분류 및 활동명: 내수면 어업
연계 KSIC 11차 코드: 03120
연계 KSIC 11차 분류명: 내수면 어업"
052101,A,"농업, 임업 및 어업",05,어업,052,양식어업 및 어업관련 서비스업,0521,양식 어업,해수면 양식 어업,03211,해수면 양식 어업,,,,,1,"업종코드: 052101
업종 대분류: 농업, 임업 및 어업
업종 중분류: 어업
업종 소분류: 양식어업 및 어업관련 서비스업
업종 세분류: 양식 어업
업종 세세분류 및 활동명: 해수면 양식 어업
연계 KSIC 11차 코드: 03211
연계 KSIC 11차 분류명: 해수면 양식 어업"
052103,A,"농업, 임업 및 어업",05,어업,052,양식어업 및 어업관련 서비스업,0521,양식 어업,내수면 양식 어업,03212,내수면 양식 어업,,,,,1,"업종코드: 052103
업종 대분류: 농업, 임업 및 어업
업종 중분류: 어업
업종 소분류: 양식어업 및 어업관련 서비스업
업종 세분류: 양식 어업
업종 세세분류 및 활동명: 내수면 양식 어업
연계 KSIC 11차 코드: 03212
연계 KSIC 11차 분류명: 내수면 양식 어업"
052104,A,"농업, 임업 및 어업",05,어업,052,양식어업 및 어업관련 서비스업,0521,양식 어업,수산물 부화 및 수산 종자 생산업,03213,수산물 부화 및 수산 종자 생산업,,,,,1,"업종코드: 052104
업종 대분류: 농업, 임업 및 어업
업종 중분류: 어업
업종 소분류: 양식어업 및 어업관련 서비스업
업종 세분류: 양식 어업
업종 세세분류 및 활동명: 수산물 부화 및 수산 종자 생산업
연계 KSIC 11차 코드: 03213
연계 KSIC 11차 분류명: 수산물 부화 및 수산 종자 생산업"
052200,A,"농업, 임업 및 어업",05,어업,052,양식어업 및 어업관련 서비스업,0522,어업 관련 서비스업,어업 관련 서비스업,03220,어업 관련 서비스업,,,,,1,"업종코드: 052200
업종 대분류: 농업, 임업 및 어업
업종 중분류: 어업
업종 소분류: 양식어업 및 어업관련 서비스업
업종 세분류: 어업 관련 서비스업
업종 세세분류 및 활동명: 어업 관련 서비스업
연계 KSIC 11차 코드: 03220
연계 KSIC 11차 분류명: 어업 관련 서비스업"
101000,B,광업,10,"석탄, 원유 및 천연가스 광업",101,석탄 광업,1010,석탄 광업,석탄 광업,05100,석탄 광업,05100,석탄 광업,1,,1,"업종코드: 101000
업종 대분류: 광업
업종 중분류: 석탄, 원유 및 천연가스 광업
업종 소분류: 석탄 광업
업종 세분류: 석탄 광업
업종 세세분류 및 활동명: 석탄 광업
연계 KSIC 11차 코드: 05100
연계 KSIC 11차 분류명: 석탄 광업
주요 연계 KSIC 코드: 05100
주요 연계 KSIC 분류명: 석탄 광업"
101001,B,광업,10,비금속광물 광업; 연료용 제외,101,기타 비금속광물 광업,1010,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업,07290,그 외 기타 비금속광물 광업,,,,토탄,1,"업종코드: 101001
업종 대분류: 광업
업종 중분류: 비금속광물 광업; 연료용 제외
업종 소분류: 기타 비금속광물 광업
업종 세분류: 그 외 기타 비금속광물 광업
업종 세세분류 및 활동명: 그 외 기타 비금속광물 광업
연계 KSIC 11차 코드: 07290
연계 KSIC 11차 분류명: 그 외 기타 비금속광물 광업
세부설명: 토탄"
131000,B,광업,13,금속 광업,131,철 광업,1310,철 광업,철 광업,06100,철 광업,06100,철 광업,1,,1,"업종코드: 131000
업종 대분류: 광업
업종 중분류: 금속 광업
업종 소분류: 철 광업
업종 세분류: 철 광업
업종 세세분류 및 활동명: 철 광업
연계 KSIC 11차 코드: 06100
연계 KSIC 11차 분류명: 철 광업
주요 연계 KSIC 코드: 06100
주요 연계 KSIC 분류명: 철 광업"
131003,B,광업,13,금속 광업,131,비철금속 광업,1310,비철금속 광업,비철금속 광업,06200,비철금속 광업,,,,"텅스텐, 몰리브덴",1,"업종코드: 131003
업종 대분류: 광업
업종 중분류: 금속 광업
업종 소분류: 비철금속 광업
업종 세분류: 비철금속 광업
업종 세세분류 및 활동명: 비철금속 광업
연계 KSIC 11차 코드: 06200
연계 KSIC 11차 분류명: 비철금속 광업
세부설명: 텅스텐, 몰리브덴"
132002,B,광업,13,금속 광업,132,비철금속 광업,1320,비철금속 광업,비철금속 광업,06200,비철금속 광업,,,,기타 비철금속,1,"업종코드: 132002
업종 대분류: 광업
업종 중분류: 금속 광업
업종 소분류: 비철금속 광업
업종 세분류: 비철금속 광업
업종 세세분류 및 활동명: 비철금속 광업
연계 KSIC 11차 코드: 06200
연계 KSIC 11차 분류명: 비철금속 광업
세부설명: 기타 비철금속"
132003,B,광업,13,금속 광업,132,비철금속 광업,1320,비철금속 광업,비철금속 광업,06200,비철금속 광업,06200,비철금속 광업,1,"금ㆍ은 및 백금, 동광석",1,"업종코드: 132003
업종 대분류: 광업
업종 중분류: 금속 광업
업종 소분류: 비철금속 광업
업종 세분류: 비철금속 광업
업종 세세분류 및 활동명: 비철금속 광업
연계 KSIC 11차 코드: 06200
연계 KSIC 11차 분류명: 비철금속 광업
주요 연계 KSIC 코드: 06200
주요 연계 KSIC 분류명: 비철금속 광업
세부설명: 금ㆍ은 및 백금, 동광석"
141001,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,07121,건설용 석재 채굴 및 쇄석 생산업,07121,건설용 석재 채굴 및 쇄석 생산업,2,건설용 석재 채굴,1,"업종코드: 141001
업종 대분류: 광업
업종 중분류: 비금속광물 광업; 연료용 제외
업종 소분류: 토사석 광업
업종 세분류: 석재, 쇄석 및 모래, 자갈 채취업
업종 세세분류 및 활동명: 건설용 석재 채굴 및 쇄석 생산업
연계 KSIC 11차 코드: 07121
연계 KSIC 11차 분류명: 건설용 석재 채굴 및 쇄석 생산업
주요 연계 KSIC 코드: 07121
주요 연계 KSIC 분류명: 건설용 석재 채굴 및 쇄석 생산업
세부설명: 건설용 석재 채굴"
141002,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,석회석 및 점토 광업,석회석 및 점토 광업,07110,석회석 및 점토 광업,07110,석회석 및 점토 광업,1,,1,"업종코드: 141002
업종 대분류: 광업
업종 중분류: 비금속광물 광업; 연료용 제외
업종 소분류: 토사석 광업
업종 세분류: 석회석 및 점토 광업
업종 세세분류 및 활동명: 석회석 및 점토 광업
연계 KSIC 11차 코드: 07110
연계 KSIC 11차 분류명: 석회석 및 점토 광업
주요 연계 KSIC 코드: 07110
주요 연계 KSIC 분류명: 석회석 및 점토 광업"
141003,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,07121,건설용 석재 채굴 및 쇄석 생산업,07121,건설용 석재 채굴 및 쇄석 생산업,2,건설용 쇄석 생산,1,"업종코드: 141003
업종 대분류: 광업
업종 중분류: 비금속광물 광업; 연료용 제외
업종 소분류: 토사석 광업
업종 세분류: 석재, 쇄석 및 모래, 자갈 채취업
업종 세세분류 및 활동명: 건설용 석재 채굴 및 쇄석 생산업
연계 KSIC 11차 코드: 07121
연계 KSIC 11차 분류명: 건설용 석재 채굴 및 쇄석 생산업
주요 연계 KSIC 코드: 07121
주요 연계 KSIC 분류명: 건설용 석재 채굴 및 쇄석 생산업
세부설명: 건설용 쇄석 생산"
141004,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,"석재, 쇄석 및 모래, 자갈 채취업",모래 및 자갈 채취업,07122,모래 및 자갈 채취업,07122,모래 및 자갈 채취업,1,,1,"업종코드: 141004
업종 대분류: 광업
업종 중분류: 비금속광물 광업; 연료용 제외
업종 소분류: 토사석 광업
업종 세분류: 석재, 쇄석 및 모래, 자갈 채취업
업종 세세분류 및 활동명: 모래 및 자갈 채취업
연계 KSIC 11차 코드: 07122
연계 KSIC 11차 분류명: 모래 및 자갈 채취업
주요 연계 KSIC 코드: 07122
주요 연계 KSIC 분류명: 모래 및 자갈 채취업"
141006,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,"석재, 쇄석 및 모래, 자갈 채취업",모래 및 자갈 채취업,07122,모래 및 자갈 채취업,,,,공업용 모래 채취,1,"업종코드: 141006
업종 대분류: 광업
업종 중분류: 비금속광물 광업; 연료용 제외
업종 소분류: 토사석 광업
업종 세분류: 석재, 쇄석 및 모래, 자갈 채취업
업종 세세분류 및 활동명: 모래 및 자갈 채취업
연계 KSIC 11차 코드: 07122
연계 KSIC 11차 분류명: 모래 및 자갈 채취업
세부설명: 공업용 모래 채취"
142101,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1421,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업,07290,그 외 기타 비금속광물 광업,,,,"활석, 장석 및 규조토",1,"업종코드: 142101
업종 대분류: 광업
업종 중분류: 비금속광물 광업; 연료용 제외
업종 소분류: 기타 비금속광물 광업
업종 세분류: 그 외 기타 비금속광물 광업
업종 세세분류 및 활동명: 그 외 기타 비금속광물 광업
연계 KSIC 11차 코드: 07290
연계 KSIC 11차 분류명: 그 외 기타 비금속광물 광업
세부설명: 활석, 장석 및 규조토"
142102,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1421,화학용 및 비료 원료용 광물 광업,화학용 및 비료 원료용 광물 광업,07210,화학용 및 비료 원료용 광물 광업,,,,납석,1,"업종코드: 142102
업종 대분류: 광업
업종 중분류: 비금속광물 광업; 연료용 제외
업종 소분류: 기타 비금속광물 광업
업종 세분류: 화학용 및 비료 원료용 광물 광업
업종 세세분류 및 활동명: 화학용 및 비료 원료용 광물 광업
연계 KSIC 11차 코드: 07210
연계 KSIC 11차 분류명: 화학용 및 비료 원료용 광물 광업
세부설명: 납석"
142104,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1421,화학용 및 비료 원료용 광물 광업,화학용 및 비료 원료용 광물 광업,07210,화학용 및 비료 원료용 광물 광업,07210,화학용 및 비료 원료용 광물 광업,1,,1,"업종코드: 142104
업종 대분류: 광업
업종 중분류: 비금속광물 광업; 연료용 제외
업종 소분류: 기타 비금속광물 광업
업종 세분류: 화학용 및 비료 원료용 광물 광업
업종 세세분류 및 활동명: 화학용 및 비료 원료용 광물 광업
연계 KSIC 11차 코드: 07210
연계 KSIC 11차 분류명: 화학용 및 비료 원료용 광물 광업
주요 연계 KSIC 코드: 07210
주요 연계 KSIC 분류명: 화학용 및 비료 원료용 광물 광업"
142200,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1422,천일염 생산 및 암염 채취업,천일염 생산 및 암염 채취업,07220,천일염 생산 및 암염 채취업,,,,,1,"업종코드: 142200
업종 대분류: 광업
업종 중분류: 비금속광물 광업; 연료용 제외
업종 소분류: 기타 비금속광물 광업
업종 세분류: 천일염 생산 및 암염 채취업
업종 세세분류 및 활동명: 천일염 생산 및 암염 채취업
연계 KSIC 11차 코드: 07220
연계 KSIC 11차 분류명: 천일염 생산 및 암염 채취업"
142902,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1429,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업,07290,그 외 기타 비금속광물 광업,07290,그 외 기타 비금속광물 광업,1,,1,"업종코드: 142902
업종 대분류: 광업
업종 중분류: 비금속광물 광업; 연료용 제외
업종 소분류: 기타 비금속광물 광업
업종 세분류: 그 외 기타 비금속광물 광업
업종 세세분류 및 활동명: 그 외 기타 비금속광물 광업
연계 KSIC 11차 코드: 07290
연계 KSIC 11차 분류명: 그 외 기타 비금속광물 광업
주요 연계 KSIC 코드: 07290
주요 연계 KSIC 분류명: 그 외 기타 비금속광물 광업"
142909,B,광업,14,"석탄, 원유 및 천연가스 광업",142,원유 및 천연가스 채굴업,1429,원유 및 천연가스 채굴업,원유 및 천연가스 채굴업,05200,원유 및 천연가스 채굴업,,,,,1,"업종코드: 142909
업종 대분류: 광업
업종 중분류: 석탄, 원유 및 천연가스 광업
업종 소분류: 원유 및 천연가스 채굴업
업종 세분류: 원유 및 천연가스 채굴업
업종 세세분류 및 활동명: 원유 및 천연가스 채굴업
연계 KSIC 11차 코드: 05200
연계 KSIC 11차 분류명: 원유 및 천연가스 채굴업"
142910,B,광업,14,광업 지원 서비스업,142,광업 지원 서비스업,1429,광업 지원 서비스업,광업 지원 서비스업,08000,광업 지원 서비스업,,,,,1,"업종코드: 142910
업종 대분류: 광업
업종 중분류: 광업 지원 서비스업
업종 소분류: 광업 지원 서비스업
업종 세분류: 광업 지원 서비스업
업종 세세분류 및 활동명: 광업 지원 서비스업
연계 KSIC 11차 코드: 08000
연계 KSIC 11차 분류명: 광업 지원 서비스업"
